,0
rollmean16_q75,3175.7956557273865
abs_max_vs_ref,3170.608892440796
diff_q25,3159.189544200897
sign_cov_ratio,3159.1402716636658
ftest_pval,3157.889100074768
rollstd16_q25,3153.318474292755
rank_max_vs_ref,3138.2279324531555
cumsum_autocorr_ratio,3129.618353843689
cumsum_mean_w500_vs_ref,3124.2947583198547
rollstd16_cov_vs_ref,3114.8840618133545
cumsum_std_w500_vs_ref,3099.147027015686
square_kurt_w20_vs_ref,3048.6483845710754
rank_centered_autocorr_vs_ref,3022.193346977234
diff2_q75_ratio,3003.5296020507812
ks_pval,2994.5129590034485
cumsum_std_ratio,2985.086464881897
abs_range_vs_ref,2965.573408126831
rollmean16_q75_ratio,2954.175115585327
logabs_q75_ratio,2921.6854634284973
diff2_q75_vs_ref,2921.469111919403
cumsum_std_w200_vs_ref,2914.431616306305
rollmean16_kurt,2896.4173016548157
rank_centered_autocorr,2874.1438722610474
rollstd16_skew,2861.4409942626953
diff2_q25_ratio,2832.0885696411133
rank_min,2777.2005491256714
rollstd16_kurt_w100_vs_ref,2771.7614517211914
rollmean16_std_ratio,2760.646360874176
sign_cov,2745.3436336517334
rollstd16_range_ratio,2742.5726203918457
rollmean16_q25_vs_ref,2740.9321513175964
rollstd16_kurt_w500,2736.8392820358276
z_range,2735.2515330314636
sign_mean_ratio,2711.9160718917847
rollstd16_autocorr_vs_ref,2691.254168987274
rollstd16_kurt_w200_vs_ref,2685.971116542816
rollmean16_std,2683.3596477508545
square_min_vs_ref,2680.0497217178345
cumsum_autocorr_vs_ref,2669.508975505829
cumsum_mean_w100_vs_ref,2660.484233856201
rank_max,2660.437319755554
abs_min_vs_ref,2659.382082462311
square_kurt_ratio,2627.2054986953735
rollstd16_kurt_w500_vs_ref,2592.612958431244
rank_autocorr_ratio,2592.474784851074
rollmean16_q25_ratio,2585.892221927643
z_skew,2574.642518043518
cumsum_std,2555.723343372345
diff_skew_vs_ref,2547.207908630371
diff_mean_ratio,2513.3093643188477
rollmean16_q25,2500.580271244049
rollstd16_median_ratio,2460.7976489067078
cp_pooled_strength,2460.644994020462
rollstd16_kurt_vs_ref,2458.495108127594
rollstd16_autocorr_ratio,2452.202866077423
rollmean16_kurt_w200_vs_ref,2439.7269325256348
abs_cov_vs_ref,2437.530218601227
rollstd16_kurt_w50_vs_ref,2426.980215072632
cumsum_skew_vs_ref,2420.7488198280334
diff_q25_ratio,2413.0765252113342
abs_kurt_ratio,2374.4628133773804
square_std_ratio,2362.526183128357
rollmean16_std_vs_ref,2355.5348296165466
rollmean16_skew_vs_ref,2354.647883415222
square_cov,2349.2198333740234
square_kurt_vs_ref,2342.7406735420227
rollstd16_kurt,2310.468193054199
rank_autocorr,2279.6190161705017
cumsum_q75,2271.299451828003
cumsum_mean_w200_vs_ref,2233.0651717185974
rank_min_vs_ref,2228.463068962097
z_q25,2223.9003262519836
cumsum_mean_w50_vs_ref,2211.090597629547
diff_skew,2199.601505756378
abs_skew_ratio,2190.614531517029
diff2_skew_vs_ref,2180.5564193725586
cumsum_q25,2124.891881465912
square_skew_ratio,2114.0366444587708
diff_q25_vs_ref,2107.2258434295654
square_q25_vs_ref,2097.7146077156067
rollmean16_kurt_w20_vs_ref,2095.096390247345
rollstd16_range,2068.674038887024
diff_skew_w500,2059.477554321289
rollmean16_skew,2029.9717936515808
diff2_cov_ratio,2008.4364476203918
abs_cov_ratio,2002.4874572753906
logabs_std,2000.0789699554443
rollmean16_std_w200_vs_ref,1992.3944191932678
cumsum_mean_w20_vs_ref,1980.6255521774292
z_median,1980.5018501281738
z_cov,1980.0267934799194
rollstd16_std_ratio,1977.668128490448
rollstd16_q75,1969.57035779953
rank_autocorr_vs_ref,1964.6723384857178
abs_range_ratio,1964.6556415557861
logabs_median,1961.561074256897
sign_std,1958.17427110672
rollmean16_std_w500,1948.4353322982788
rollstd16_std,1912.3521356582642
rollmean16_std_w500_vs_ref,1909.0154809951782
rank_centered_cov,1908.4802961349487
abs_max,1901.8501472473145
diff2_kurt,1890.724672794342
rollmean16_kurt_w100_vs_ref,1888.2601327896118
rollmean16_kurt_w50_vs_ref,1881.8102917671204
rank_centered_max,1877.3530230522156
diff_skew_w500_vs_ref,1860.8319644927979
logabs_min,1843.0276980400085
rollstd16_median_vs_ref,1840.8915104866028
rank_max_ratio,1831.8967299461365
z_skew_w500,1831.4401512145996
rollmean16_kurt_w500_vs_ref,1828.5641536712646
sign_median_vs_ref,1824.507616519928
rollstd16_skew_vs_ref,1816.9809637069702
diff_cov_ratio,1805.4896869659424
rollmean16_std_w200,1803.778389453888
rollstd16_std_vs_ref,1776.4284839630127
logabs_median_ratio,1773.1739830970764
square_kurt_w50_vs_ref,1771.5767345428467
diff_kurt,1770.447569847107
logabs_std_ratio,1770.4430031776428
rank_centered_min,1766.4589157104492
z_q75,1752.0281720161438
rollmean16_q75_vs_ref,1750.3414978981018
logabs_q25,1747.5936470031738
square_q25,1746.8754534721375
rollmean16_skew_w500_vs_ref,1738.758641242981
abs_max_ratio,1731.5315265655518
rollmean16_skew_w100_vs_ref,1730.442594051361
rollmean16_std_w20_vs_ref,1726.7246780395508
z_skew_vs_ref,1725.6180725097656
rollstd16_skew_w200_vs_ref,1718.5509877204895
cumsum_median,1700.1412978172302
rollstd16_std_w500_vs_ref,1696.4207792282104
cumsum_skew_w500_vs_ref,1673.375735282898
rollmean16_skew_w500,1669.7044467926025
rollstd16_range_vs_ref,1667.257480621338
