,0
cal_cdf0.5_frac,3288.7040090560913
diff_q75_vs_ref,3272.049612045288
rollstd16_kurt_w50,3263.3644948005676
cumsum_std_vs_ref,3212.9364361763
sign_cov,3212.2706532478333
rollmean16_kurt_vs_ref,3192.9753460884094
diff2_q25,3142.9509992599487
rollmean16_q75,3118.1324133872986
cal_sign_runs_exp,3072.018717288971
rollstd16_skew_w500,3011.478838443756
abs_cov,3007.208294391632
cal_autocorr1_exp,2978.9287991523743
diff2_autocorr_ratio,2972.468192100525
rollmean16_skew_vs_ref,2965.9417328834534
cal_cdf0.25_frac,2930.1698241233826
cumsum_cov,2920.455475330353
sign_autocorr_vs_ref,2913.2957816123962
diff2_range_ratio,2909.4112367630005
rank_autocorr_ratio,2904.5058341026306
cumsum_std_w100_vs_ref,2887.155911922455
abs_min_vs_ref,2853.60741519928
diff_autocorr_vs_ref,2836.8080229759216
rollstd16_q25,2820.2533011436462
diff_q75,2799.49671792984
rollstd16_q25_vs_ref,2782.513937473297
rollmean16_kurt,2775.4824447631836
square_kurt_ratio,2751.7624096870422
sign_cov_ratio,2735.897437095642
spectral_domfreq,2721.2341861724854
rollstd16_cov,2720.106917858124
logabs_range_ratio,2711.665303707123
cal_ring12_exp,2701.859175682068
z_range_ratio,2695.1618309020996
square_kurt_w20_vs_ref,2683.637941837311
diff_q75_ratio,2678.015624523163
diff2_q75_vs_ref,2677.2559785842896
rollstd16_autocorr,2669.225992679596
diff_range_ratio,2649.115927219391
cumsum_mean_w500_vs_ref,2639.1020374298096
diff2_q25_vs_ref,2628.0919184684753
rank_max_vs_ref,2622.47553730011
rollstd16_autocorr_vs_ref,2600.6914172172546
rank_min,2570.3766889572144
cal_ring0_exp,2557.3384008407593
square_std_w200_vs_ref,2556.896004676819
logabs_q75_ratio,2555.650236606598
cal_ar5_var_frac,2524.206151008606
square_min_vs_ref,2502.324743270874
cal_autocorr2_frac,2500.933837413788
sign_mean_ratio,2484.241536140442
cal_rank_frac,2470.483714580536
rollstd16_cov_vs_ref,2467.11239528656
diff_q25,2463.8833451271057
z_autocorr,2462.5524291992188
rollmean16_q25_ratio,2459.9541940689087
cumsum_mean_w20_vs_ref,2448.541790485382
cal_cdf0.1_exp,2430.8713002204895
cumsum_std_w500_vs_ref,2426.2918334007263
rank_centered_autocorr_ratio,2413.9154415130615
cumsum_std_ratio,2412.1588554382324
z_autocorr_vs_ref,2410.8294639587402
rollstd16_q25_ratio,2407.188587665558
rank_centered_autocorr,2382.3983125686646
rollmean16_kurt_w500_vs_ref,2349.764856338501
diff2_q25_ratio,2346.684477329254
cal_cdf0.9_frac,2337.752425670624
rollstd16_skew,2334.3893303871155
rollstd16_kurt_w100_vs_ref,2332.6356716156006
rollstd16_autocorr_ratio,2324.905782699585
cumsum_std_w200_vs_ref,2306.9072031974792
rollmean16_q25_vs_ref,2305.5409173965454
rank_max,2299.0031003952026
rank_min_vs_ref,2298.2111024856567
rollstd16_kurt_w500,2294.920385360718
rollstd16_kurt_w500_vs_ref,2288.545301914215
abs_kurt_ratio,2281.066969871521
rollmean16_std_ratio,2274.1092977523804
diff_q25_ratio,2264.5510716438293
rollstd16_std_ratio,2229.954873085022
cal_tail_frac,2207.2796306610107
diff_mean_ratio,2181.6700224876404
z_skew,2177.73433637619
diff_q25_vs_ref,2177.635724067688
cal_mean_frac,2157.7165307998657
rollmean16_q25,2157.607485771179
diff_skew_vs_ref,2146.9040994644165
cal_cdf0.9_exp,2144.9236092567444
diff2_skew_vs_ref,2136.70276594162
diff_skew,2132.5318636894226
cal_jump_exp,2122.502932548523
sign_autocorr,2117.631814956665
diff2_cov_ratio,2115.065356731415
rollmean16_skew,2112.4808588027954
rollmean16_std,2107.959415435791
abs_range_vs_ref,2091.18913936615
cal_cdf0.75_frac,2087.765280723572
diff2_q75_ratio,2085.4793639183044
rollmean16_kurt_w200_vs_ref,2062.7289690971375
cal_rank_disp_frac,2043.3036823272705
square_kurt_vs_ref,2030.1680645942688
rollstd16_range,2026.214663028717
rollstd16_kurt_w200,2022.9390788078308
cumsum_mean_w200_vs_ref,2021.8029551506042
rank_centered_autocorr_vs_ref,2007.488193511963
abs_skew_ratio,2000.5013437271118
rollstd16_kurt_vs_ref,2000.2505230903625
rollstd16_q75,1999.3029189109802
rollmean16_skew_w500,1993.3109788894653
diff2_kurt,1989.176498889923
cal_cdf0.1_frac,1978.7755727767944
z_range,1968.5642194747925
cumsum_skew_vs_ref,1966.1771669387817
rollmean16_std_vs_ref,1961.8503413200378
cumsum_q75,1951.1366696357727
square_skew_ratio,1936.7015495300293
abs_cov_ratio,1935.632197380066
cal_tail_exp,1933.2813715934753
z_cov,1930.6080527305603
rank_max_ratio,1913.6441712379456
cal_autocorr2_roll200,1913.2047905921936
cumsum_std,1905.1188125610352
abs_max_ratio,1896.4579343795776
cumsum_mean_w100_vs_ref,1896.134831905365
cal_tail_roll200,1892.9549050331116
logabs_median_ratio,1882.3486585617065
rollmean16_q75_vs_ref,1861.4859690666199
cal_absdz_scan,1857.3078417778015
square_cov,1842.9681057929993
rollmean16_median_vs_ref,1842.1670942306519
cal_roughness_exp,1832.0914793014526
cal_autocorr1_frac,1826.3861689567566
rollmean16_kurt_w20_vs_ref,1824.7210063934326
diff2_skew,1810.1101841926575
diff2_kurt_vs_ref,1805.2166213989258
rollstd16_kurt_w50_vs_ref,1797.971510887146
rollmean16_std_w500_vs_ref,1795.3358492851257
abs_range,1792.7148900032043
abs_cov_vs_ref,1789.9886622428894
z_median,1783.4499201774597
sign_median_vs_ref,1770.6472239494324
diff_cov_ratio,1768.2796177864075
cal_seg_var,1762.809003829956
logabs_min,1754.6141061782837
cal_jump_roll200,1749.4404220581055
logabs_max_vs_ref,1738.7541856765747
square_q25_vs_ref,1729.4122424125671
rollstd16_median,1723.1145877838135
rank_autocorr,1717.1929731369019
logabs_std,1713.8221445083618
abs_range_ratio,1711.807538509369
cal_jump_roll50,1709.6981163024902
logabs_median,1707.198914051056
cal_absdz_frac,1706.324861049652
cal_cdf0.1_scan,1701.839358329773
square_kurt_w50_vs_ref,1701.159451007843
z_q25,1700.9694609642029
rollstd16_std_w50_vs_ref,1699.293993473053
rollmean16_std_w200,1692.452811717987
square_cov_ratio,1686.8014755249023
cal_roughness_scan,1678.344705581665
diff_skew_w500_vs_ref,1674.650200843811
cal_cdf0.25_exp,1667.8497695922852
cal_sign_runs_roll200,1661.8368864059448
logabs_std_ratio,1660.2514181137085
cal_rank_disp_scan,1654.2883825302124
sign_kurt,1653.0116038322449
cal_ring12_roll200,1646.7500791549683
abs_max,1634.4995403289795
rank_centered_min,1627.8030343055725
rollstd16_kurt_w200_vs_ref,1622.262438774109
cumsum_autocorr_vs_ref,1600.0825872421265
ks_pval,1596.1376996040344
rollmean16_skew_w500_vs_ref,1584.5599493980408
cal_cdf0.9_scan,1582.1439638137817
rollmean16_std_w20_vs_ref,1576.8377895355225
rollstd16_range_ratio,1573.6208519935608
cumsum_q25,1557.5606079101562
logabs_std_w500_vs_ref,1556.7993421554565
square_median,1552.4157676696777
z_skew_vs_ref,1551.2925777435303
cal_cdf0.1_roll50,1550.239336490631
logabs_kurt_vs_ref,1524.4587717056274
rank_centered_max,1522.079861164093
cumsum_median,1518.5509614944458
z_skew_w500,1514.3005723953247
sign_std,1502.7962012290955
square_std_ratio,1500.504693031311
cal_absdev_frac,1500.1967706680298
cal_autocorr1_roll200,1489.534513950348
rollstd16_skew_vs_ref,1481.2338032722473
rank_autocorr_vs_ref,1476.288935661316
rollmean16_std_w500,1476.0798182487488
cal_sign_runs_scan,1473.903127193451
rollmean16_std_w50_vs_ref,1445.3975048065186
logabs_std_vs_ref,1445.0406103134155
rollmean16_skew_w100_vs_ref,1417.2083358764648
z_q75,1416.52574634552
cumsum_skew_w500_vs_ref,1402.6073293685913
rollmean16_kurt_w500,1401.6307935714722
logabs_kurt_ratio,1396.7260456085205
rank_centered_min_ratio,1393.3798112869263
cumsum_mean_w50_vs_ref,1390.3448190689087
sign_skew_ratio,1388.9496221542358
rollmean16_median,1378.8219656944275
rollstd16_q75_ratio,1373.5821475982666
abs_q25,1369.9418897628784
rollstd16_std_w200_vs_ref,1362.4831829071045
ftest_pval,1361.7966499328613
rollmean16_kurt_w50_vs_ref,1349.3095812797546
square_q25,1339.0123682022095
diff_kurt,1329.6170454025269
cal_roughness_roll200,1323.608371257782
rollmean16_kurt_w100_vs_ref,1322.6047415733337
rollstd16_std,1322.348225593567
square_kurt_w500_vs_ref,1318.3546962738037
diff2_skew_w500,1314.631537437439
diff2_skew_w500_vs_ref,1310.9533104896545
rollstd16_kurt,1309.6940064430237
logabs_q25,1307.7020936012268
cal_cdf0.5_exp,1306.866644859314
diff2_kurt_w500_vs_ref,1297.6684312820435
cal_rank_disp_exp,1293.9015016555786
cal_autocorr1_scan,1293.2226166725159
diff_skew_w500,1280.494384765625
cal_absdz_roll200,1254.7197942733765
logabs_skew,1241.0616941452026
rollstd16_median_vs_ref,1238.857611656189
rollstd16_skew_w200_vs_ref,1234.6480865478516
rollstd16_std_w20_vs_ref,1229.7239270210266
cumsum_autocorr_ratio,1227.3692002296448
rollstd16_std_w100_vs_ref,1226.8397989273071
diff_skew_w200_vs_ref,1226.7176804542542
cal_seg_autocorr2,1222.734386920929
diff_skew_w100_vs_ref,1215.9411797523499
rollmean16_skew_w200_vs_ref,1195.3920331001282
z_skew_w500_vs_ref,1195.119327545166
cal_jump_frac,1194.378384590149
cal_cdf0.75_exp,1181.7100005149841
diff2_std_vs_ref,1181.24671792984
abs_median,1179.9626293182373
rollstd16_std_vs_ref,1175.4013175964355
cal_ring0_roll200,1172.6123261451721
rollstd16_range_vs_ref,1172.1871285438538
rank_centered_cov,1162.0640602111816
cal_seg_sign_runs,1155.1872792243958
square_std,1154.2606739997864
square_cov_vs_ref,1154.20698595047
abs_std_w500_vs_ref,1149.8341126441956
square_kurt_w100_vs_ref,1142.795846939087
diff2_mean_ratio,1135.062707901001
rollmean16_std_w100,1132.4694848060608
cal_ring12_roll50,1127.9314804077148
square_range,1121.622742176056
rollstd16_kurt_w20_vs_ref,1121.4410438537598
cal_ring12_scan,1120.2638273239136
cal_tail_roll50,1113.62015914917
