iter	Logloss
0	0.6900165972
1	0.6869579405
2	0.6840492006
3	0.6812042971
4	0.6785867282
5	0.6759528337
6	0.6734518287
7	0.671038868
8	0.6687319386
9	0.6665101276
10	0.6643783714
11	0.6622925111
12	0.6603751591
13	0.6584435562
14	0.6566432986
15	0.6549136378
16	0.6532031388
17	0.6515768708
18	0.6500581331
19	0.6484961022
20	0.6470934994
21	0.6456835811
22	0.6443133815
23	0.6430072984
24	0.6417771417
25	0.6405700337
26	0.6394647707
27	0.6383148983
28	0.6372499182
29	0.6362212906
30	0.6351826121
31	0.6342553025
32	0.6333357442
33	0.6324474186
34	0.6315666405
35	0.6307030892
36	0.6298869591
37	0.6290917756
38	0.6283424371
39	0.6276699166
40	0.6270110951
41	0.62633918
42	0.6256988956
43	0.6250805792
44	0.6244812611
45	0.6238419006
46	0.6232401288
47	0.6226791243
48	0.6220890462
49	0.621581706
50	0.6210994493
51	0.6206490424
52	0.6201467505
53	0.6197093428
54	0.6192552852
55	0.6188041219
56	0.6183542155
57	0.6179193606
58	0.6174934854
59	0.6171094884
60	0.6167208478
61	0.616355906
62	0.6160003148
63	0.6156814153
64	0.6153248499
65	0.6149737951
66	0.6146721778
67	0.6143290277
68	0.6140377927
69	0.6137823245
70	0.6134972794
71	0.6132340892
72	0.6129645932
73	0.6127077991
74	0.6124413308
75	0.612198405
76	0.6119499833
77	0.6116888408
78	0.6114787549
79	0.6112204278
80	0.6109724039
81	0.6107651964
82	0.6105219694
83	0.6102881052
84	0.6100250337
85	0.609818956
86	0.6095882164
87	0.6094014786
88	0.6092197832
89	0.6089688748
90	0.6087620644
91	0.6085826458
92	0.608385983
93	0.6081933911
94	0.6079822328
95	0.6078379791
96	0.6076688721
97	0.6074870416
98	0.6073083529
99	0.6071392949
100	0.6069772626
101	0.6068123164
102	0.6066277396
103	0.6064433075
104	0.6062849127
105	0.6061358364
106	0.6059486463
107	0.6057936259
108	0.6056536547
109	0.6055133606
110	0.6054164678
111	0.6052708489
112	0.6051241661
113	0.6049380339
114	0.6047860375
115	0.6046479671
116	0.6044966237
117	0.6043434934
118	0.604219863
119	0.6041261724
120	0.6039536352
121	0.6038423119
122	0.6036960772
123	0.6035729336
124	0.6034697327
125	0.6033652938
126	0.6032828521
127	0.603160913
128	0.6030381069
129	0.6029177811
130	0.6027843606
131	0.6026670973
132	0.6025239397
133	0.6024040657
134	0.6022895532
135	0.6022135139
136	0.6021196186
137	0.6019862663
138	0.6018597178
139	0.6017208224
140	0.6016097215
141	0.6015303556
142	0.6014105852
143	0.6013144179
144	0.6011742809
145	0.6010612404
146	0.6009656715
147	0.6008311099
148	0.6007023905
149	0.6005924274
150	0.6005019605
151	0.6003733338
152	0.6002351269
153	0.60012088
154	0.5999421504
155	0.5998567468
156	0.5997660713
157	0.5996721675
158	0.5995502687
159	0.5994200383
160	0.5993316899
161	0.5991976087
162	0.5990927677
163	0.5989566039
164	0.5988114727
165	0.5986882213
166	0.5985517176
167	0.5984442198
168	0.5983357766
169	0.5982590291
170	0.5981633592
171	0.5980664103
172	0.597960652
173	0.597863405
174	0.5977722291
175	0.5976712444
176	0.5975574256
177	0.5974447879
178	0.5973592119
179	0.5972280431
180	0.5971135811
181	0.5970072533
182	0.5968753586
183	0.5967456866
184	0.5966579655
185	0.5965702609
186	0.5964763655
187	0.5963831264
188	0.5963014451
189	0.5961939602
190	0.5960995389
191	0.5960216647
192	0.5959321924
193	0.5958602721
194	0.5957771136
195	0.5957006528
196	0.5956264072
197	0.5955542148
198	0.5954620782
199	0.595351796
200	0.5952528922
201	0.5951854359
202	0.59511599
203	0.5950130545
204	0.5949448713
205	0.5948343551
206	0.5947228102
207	0.594613933
208	0.5945259182
209	0.5944204661
210	0.5943077821
211	0.5942116168
212	0.5940846672
213	0.5939900559
214	0.5938338171
215	0.5937269237
216	0.593628497
217	0.5935225926
218	0.5934429552
219	0.5933677907
220	0.5933068677
221	0.593206929
222	0.5931242645
223	0.5930072433
224	0.5929197151
225	0.592828049
226	0.5927247216
227	0.5925880749
228	0.5925078595
229	0.5924495833
230	0.5923532343
231	0.5922516866
232	0.5921551544
233	0.5920334688
234	0.591972477
235	0.5919119862
236	0.5918066335
237	0.5916798744
238	0.5915765791
239	0.5915134654
240	0.5914179251
241	0.5913395677
242	0.5912200721
243	0.5910938615
244	0.5910195015
245	0.5909511288
246	0.5908545824
247	0.5907575617
248	0.5906670058
249	0.590585863
250	0.5905230579
251	0.5904179625
252	0.5903235157
253	0.5902218226
254	0.5901188221
255	0.5900351114
256	0.5899667017
257	0.5898727947
258	0.5897642093
259	0.5896698041
260	0.5896032011
261	0.589513381
262	0.5894130381
263	0.5893390036
264	0.5892230553
265	0.5891130971
266	0.5890325768
267	0.5889464181
268	0.5888513462
269	0.5887686737
270	0.5887078309
271	0.5886218749
272	0.5885320017
273	0.5884673738
274	0.5883890375
275	0.5883158281
276	0.5882581061
277	0.5881520202
278	0.5880709877
279	0.5879847841
280	0.5878802906
281	0.5877819762
282	0.587695615
283	0.5876114975
284	0.5875529833
285	0.5874559501
286	0.5873660748
287	0.5872502637
288	0.5871520326
289	0.5870371052
290	0.5869418764
291	0.5868072502
292	0.5867224178
293	0.5866633355
294	0.5865637259
295	0.5864939778
296	0.5864050201
297	0.5863447257
298	0.5862850438
299	0.5862180205
300	0.5861296556
301	0.5860506108
302	0.5859588383
303	0.5858859759
304	0.5858100727
305	0.5857254854
306	0.5856543552
307	0.5855847641
308	0.5854685434
309	0.5853632206
310	0.5852835811
311	0.5852143737
312	0.5851513379
313	0.5850660264
314	0.5849713061
315	0.5848828051
316	0.5848051969
317	0.5847130472
318	0.5846267606
319	0.5845559181
320	0.584474527
321	0.5844199436
322	0.584333768
323	0.5842652931
324	0.5841781002
325	0.5841130463
326	0.5840217275
327	0.5839384747
328	0.5838643426
329	0.5837755278
330	0.5837102958
331	0.5836194434
332	0.5835293421
333	0.5834563302
334	0.5833666268
335	0.5832883592
336	0.5832057619
337	0.5831030888
338	0.5830408954
339	0.5829746579
340	0.5829029481
341	0.5828374128
342	0.5827263229
343	0.5826236624
344	0.582558348
345	0.582487219
346	0.5824136144
347	0.5823295817
348	0.5822697128
349	0.5821839552
350	0.5821188583
351	0.582018032
352	0.5819457847
353	0.5818756827
354	0.5817806645
355	0.5816939086
356	0.5815935251
357	0.5815227655
358	0.5814068395
359	0.5813436037
360	0.5812680451
361	0.5812066144
362	0.5811051395
363	0.5809893502
364	0.5809332123
365	0.5808878422
366	0.5808095855
367	0.5807045332
368	0.5806053398
369	0.5805150233
370	0.5804100537
371	0.5803071008
372	0.5802301298
373	0.5801413505
374	0.5800693122
375	0.5799762752
376	0.5798969255
377	0.5798217178
378	0.579706668
379	0.5796476548
380	0.5795542599
381	0.579453367
382	0.5793574427
383	0.5792997348
384	0.5792328216
385	0.5791343821
386	0.5790733313
387	0.57898018
388	0.5788933574
389	0.5788398025
390	0.5787318235
391	0.5786410177
392	0.5785223578
393	0.5784483153
394	0.5783461213
395	0.5782572468
396	0.5781624606
397	0.5781184563
398	0.5780143807
399	0.5779240024
400	0.5778580254
401	0.5777932567
402	0.5777257135
403	0.5776408959
404	0.5775617679
405	0.5774986741
406	0.5774397319
407	0.5773658291
408	0.5772907809
409	0.577222438
410	0.5771394983
411	0.5770521693
412	0.576972937
413	0.5768811587
414	0.5767943492
415	0.5766992103
416	0.5766269613
417	0.5765595176
418	0.5764931575
419	0.5764208529
