iter	Logloss
0	0.6725712049
1	0.6531196044
2	0.6352301345
3	0.6182113102
4	0.6017780659
5	0.5863012599
6	0.5711443771
7	0.5569612269
8	0.5441553739
9	0.5317611023
10	0.5204895885
11	0.5090623327
12	0.4983698587
13	0.4889092826
14	0.478965076
15	0.4698786942
16	0.4616067033
17	0.4540915152
18	0.4463731549
19	0.4395312677
20	0.4325468805
21	0.4259461038
22	0.4196563174
23	0.4138240274
24	0.4084939028
25	0.4035723778
26	0.3987466334
27	0.3940578534
28	0.3897291995
29	0.3855508427
30	0.3814587699
31	0.3775661803
32	0.3743276024
33	0.3709531451
34	0.3678320879
35	0.3646273824
36	0.3615275502
37	0.3586658781
38	0.3559589752
39	0.3534810387
40	0.3512657092
41	0.3489673261
42	0.3467861167
43	0.3446663385
44	0.3427929205
45	0.3411267193
46	0.3394229799
47	0.3376057808
48	0.3357536897
49	0.3342819204
50	0.3327453855
51	0.3313383888
52	0.3301250195
53	0.328861705
54	0.3276368971
55	0.32642025
56	0.3251375987
57	0.3239086937
58	0.3228713171
59	0.3217807634
60	0.3208923725
61	0.3198722411
62	0.3189051634
63	0.3181726277
64	0.3173070899
65	0.3166589757
66	0.3158424415
67	0.3151632779
68	0.3144285887
69	0.3136952443
70	0.3130311082
71	0.3123727977
72	0.3117193232
73	0.3112812999
74	0.3107333748
75	0.3101562867
76	0.3097118339
77	0.3092788204
78	0.3088733236
79	0.3083857672
80	0.3079596116
81	0.3074884598
82	0.3070887943
83	0.3066720379
84	0.3062754336
85	0.3059471726
86	0.3056527888
87	0.3053209846
88	0.3050703732
89	0.3047285755
90	0.304439404
91	0.3041166482
92	0.3038171078
93	0.3035944376
94	0.3033334323
95	0.303090365
96	0.3027970695
97	0.3025344686
98	0.3023177576
99	0.3021245102
100	0.3019471268
101	0.3017062286
102	0.3014795681
103	0.3012486848
104	0.3010468233
105	0.3008896966
106	0.3007086618
107	0.3005502394
108	0.3003470646
109	0.3001540304
110	0.2999633649
111	0.2997456493
112	0.2996054241
113	0.2994922467
114	0.2994042645
115	0.2992658818
116	0.299108576
117	0.2989727577
118	0.2988844035
119	0.2987848313
120	0.2986936097
121	0.2985649735
122	0.2983815728
123	0.2982844733
124	0.2981693832
125	0.2980023481
126	0.2978855578
127	0.2977713771
128	0.2976579416
129	0.2975811971
130	0.2974703593
131	0.2973898467
132	0.2972902598
133	0.2971827293
134	0.2971121266
135	0.2970277278
136	0.2969733393
137	0.2968498159
138	0.2967074494
139	0.2966251574
140	0.2965440145
141	0.2964796586
142	0.2963564492
143	0.2962662496
144	0.2962251919
145	0.2961585641
146	0.2961040223
147	0.296009135
148	0.2959386339
149	0.295873615
150	0.2958103194
151	0.2957044355
152	0.2956352795
153	0.2955843973
154	0.2955322655
155	0.2954953106
156	0.2954231725
157	0.2953554894
158	0.2953020127
159	0.29520468
160	0.2951099168
161	0.2950612663
162	0.294989018
163	0.2949441942
164	0.2948958718
165	0.2948189066
166	0.2947731222
167	0.2947353015
168	0.2947095725
169	0.2946631405
170	0.2946064914
171	0.2945265783
172	0.29448451
173	0.2944309645
174	0.294409027
175	0.2943474258
176	0.2943262403
177	0.2942714551
178	0.2942270646
179	0.2941919646
180	0.2941502639
181	0.2941220632
182	0.2940612972
183	0.2940277742
184	0.2939907079
185	0.2939511002
186	0.2939127631
187	0.293877892
188	0.2938170599
189	0.2937782818
190	0.2937496468
191	0.2937065377
192	0.2936851043
193	0.2936538743
194	0.2936057637
195	0.2935648575
196	0.2935448968
197	0.293501768
198	0.2934578405
199	0.2934239812
200	0.2933676036
201	0.2933424286
202	0.2932874584
203	0.2932376627
204	0.2931910956
205	0.2931663862
206	0.2931247745
207	0.2930849404
208	0.2930179355
209	0.2929675135
210	0.2929275487
211	0.2928930539
212	0.292864714
213	0.2928388666
214	0.2927927116
215	0.2927641083
216	0.2927235927
217	0.2926899272
218	0.2926625684
219	0.2926361597
220	0.2925910501
221	0.2925656772
222	0.292538314
223	0.292500024
224	0.2924745532
225	0.2924556587
226	0.2924264634
227	0.2923977123
228	0.2923649007
229	0.2923194185
230	0.2922958914
231	0.2922686839
232	0.2922271562
233	0.2922052613
234	0.292173725
235	0.2921453534
236	0.2921232302
237	0.2920937629
238	0.2920661421
239	0.2920380927
240	0.2919873382
241	0.2919583496
242	0.2919252433
243	0.2918858926
244	0.2918534412
245	0.2918161168
246	0.2917866762
247	0.2917538483
248	0.2917260298
249	0.2916793753
250	0.2916517955
251	0.2916287509
252	0.2916033079
253	0.2915770965
254	0.2915589548
255	0.291518377
256	0.2914897653
257	0.29145022
258	0.291421695
259	0.2914002475
260	0.291371308
261	0.2913373226
262	0.2913174886
263	0.2912920569
264	0.2912534417
265	0.2912338913
266	0.2911930489
267	0.2911602568
268	0.2911367464
269	0.2911057059
270	0.2910763384
271	0.2910294079
272	0.2909973478
273	0.2909614614
274	0.290941439
275	0.2909177646
276	0.2908870153
277	0.2908652787
278	0.2908465467
279	0.290822848
280	0.2907988476
281	0.2907711532
282	0.2907357579
283	0.290701702
284	0.2906700198
285	0.2906463027
286	0.2905976447
