iter	Logloss
0	0.6727696907
1	0.6532840736
2	0.6343555733
3	0.6176052998
4	0.6009302224
5	0.5850202319
6	0.5699577085
7	0.5569646041
8	0.5441349781
9	0.5321383819
10	0.5202890572
11	0.5096806219
12	0.4989958012
13	0.4891255994
14	0.4797060712
15	0.4703117413
16	0.4617268149
17	0.4536467476
18	0.4457644785
19	0.4383813928
20	0.431872406
21	0.4254003653
22	0.419275256
23	0.4132563277
24	0.4079526476
25	0.4029539597
26	0.3982797067
27	0.393738356
28	0.3893569803
29	0.3851348286
30	0.3810206595
31	0.3769333369
32	0.3732738622
33	0.3697706519
34	0.3663601286
35	0.363422054
36	0.3603261321
37	0.3575753109
38	0.3548867102
39	0.3523728623
40	0.3499734502
41	0.3477505138
42	0.3456586156
43	0.3436836096
44	0.3415105539
45	0.3396076626
46	0.3376410759
47	0.3358247038
48	0.3341228992
49	0.3323913218
50	0.3307340655
51	0.3294283462
52	0.3280128593
53	0.3266708221
54	0.3253818245
55	0.3243235426
56	0.3230936175
57	0.3218836302
58	0.3209465624
59	0.3198696171
60	0.3190125703
61	0.3180653559
62	0.3171700617
63	0.3163132965
64	0.3154659986
65	0.3146530517
66	0.3140169653
67	0.3134537501
68	0.3126955903
69	0.3119841116
70	0.3113443353
71	0.3107624631
72	0.3101990404
73	0.3095591394
74	0.3089369648
75	0.3084445595
76	0.3079042411
77	0.30741429
78	0.3069587362
79	0.3064603084
80	0.3060188913
81	0.3056249973
82	0.3051413451
83	0.3047994162
84	0.3043960257
85	0.3040684639
86	0.3037653203
87	0.3034032986
88	0.3031675069
89	0.3028364472
90	0.3025060103
91	0.3021913136
92	0.3019580278
93	0.3016463124
94	0.3013617641
95	0.3010631329
96	0.3007706922
97	0.3005628684
98	0.3003730775
99	0.3001630806
100	0.2999655371
101	0.299806507
102	0.2996087038
103	0.2994225783
104	0.2992477481
105	0.2991101443
106	0.2989082448
107	0.2987493347
108	0.2985446706
109	0.2983650523
110	0.298199964
111	0.2979821941
112	0.297849806
113	0.2976665598
114	0.2975350586
115	0.2974038577
116	0.2972540867
117	0.2971577215
118	0.2970169801
119	0.2968880491
120	0.296757372
121	0.2966242632
122	0.2965058228
123	0.2963586693
124	0.2962274991
125	0.2961036409
126	0.2959982326
127	0.295910936
128	0.2958117007
129	0.2957451288
130	0.2955794717
131	0.2954884559
132	0.2954083147
133	0.2952854915
134	0.2951957351
135	0.2951089486
136	0.295044492
137	0.294971009
138	0.2948961136
139	0.2948304486
140	0.2947764957
141	0.2946494416
142	0.2945780968
143	0.2945236904
144	0.2944296641
145	0.2943053144
146	0.2942176509
147	0.2941712389
148	0.2940743684
149	0.2939906048
150	0.2939197478
151	0.2938552757
152	0.2937947688
153	0.2936912836
154	0.2936416753
155	0.2935406265
156	0.2934690848
157	0.2933744676
158	0.2932702865
159	0.2931667582
160	0.2931125563
161	0.2930703488
162	0.293021883
163	0.2929576407
164	0.2928673914
165	0.2928292205
166	0.2927874759
167	0.2927130093
168	0.2926401604
169	0.2925818193
170	0.2925341159
171	0.2924837002
172	0.2924417819
173	0.2923844907
174	0.292316807
175	0.2922682997
176	0.2921941585
177	0.2921159428
178	0.2920762612
179	0.2920503963
180	0.2920214947
181	0.2919779687
182	0.2919392712
183	0.2918866453
184	0.2918574647
185	0.2918269407
186	0.2917791357
187	0.291720023
188	0.2916886593
189	0.2916292021
190	0.2915959842
191	0.2915718658
192	0.2915240015
193	0.2914687548
194	0.2914241619
195	0.2913515085
196	0.2913292169
197	0.2912885846
198	0.2912244518
199	0.2911904617
200	0.2911472251
201	0.2910792014
202	0.2910200957
203	0.2909869148
204	0.2909529555
205	0.2909103052
206	0.2908673985
207	0.2908379795
208	0.2907756317
209	0.2907297793
210	0.2906985399
211	0.2906754437
212	0.2906327484
213	0.2905924991
214	0.2905764878
215	0.2905565514
216	0.2905158289
217	0.2904754577
218	0.2904378542
219	0.2903989849
220	0.2903542761
221	0.2903116233
222	0.2902721837
223	0.2902142949
224	0.2901659559
225	0.2901055683
226	0.2900713885
227	0.290041133
228	0.2900031654
229	0.2899544448
230	0.2898974221
231	0.2898728555
232	0.2898394583
233	0.2897996709
234	0.2897418451
235	0.289693596
236	0.2896529583
237	0.2896034504
238	0.2895767866
239	0.289537226
240	0.2895219525
241	0.2894811788
242	0.2894464516
243	0.2894038694
244	0.2893451237
245	0.2892992598
246	0.2892700937
247	0.2892379948
248	0.2892158281
249	0.2891872966
250	0.2891512624
251	0.2891237462
252	0.2890971214
253	0.289058601
254	0.2889996771
255	0.2889536481
256	0.2889282319
257	0.2888934157
258	0.2888457764
259	0.2888062997
260	0.288765618
261	0.2887409889
262	0.2887104046
263	0.2886687185
264	0.2886405169
265	0.2886004715
266	0.2885714839
267	0.288539122
268	0.2885160832
269	0.2884685455
270	0.2884271662
271	0.2884031888
272	0.2883740502
273	0.2883333013
274	0.288275022
275	0.2882371113
276	0.288204899
277	0.2881741794
278	0.2881406185
279	0.2881165878
280	0.2880884263
281	0.2880569444
282	0.288026441
283	0.2879894098
284	0.287945154
285	0.2879132708
286	0.2878709418
287	0.2878395037
288	0.2877863356
289	0.2877192681
290	0.2876883495
291	0.2876619244
292	0.2876327438
293	0.2876024974
294	0.2875633709
295	0.2875501004
296	0.2875123153
297	0.2874916868
298	0.2874531027
299	0.2874055563
300	0.2873740879
301	0.2873369526
302	0.2872845566
303	0.2872559132
304	0.2872216789
305	0.2871859933
306	0.2871466299
307	0.2870980867
308	0.2870721214
309	0.2870346914
310	0.2869847431
311	0.2869654469
312	0.2869128005
313	0.2868873688
314	0.2868650259
315	0.2867911258
316	0.2867749732
317	0.2867518859
318	0.2867212804
319	0.286694312
320	0.2866593996
321	0.286620094
322	0.2865795036
323	0.2865402022
324	0.2865207079
325	0.2864640468
326	0.2864328197
327	0.2864012477
328	0.2863679815
329	0.2863275583
330	0.2862942839
331	0.2862627924
332	0.2862378899
333	0.2862140412
334	0.2861522954
335	0.286125762
336	0.286103793
337	0.286053602
338	0.2860095657
339	0.285983888
340	0.2859604664
341	0.2859282125
342	0.2858947249
343	0.2858587573
344	0.2858247212
345	0.2857971354
346	0.2857738231
347	0.2857325807
348	0.2857018098
349	0.2856562931
350	0.2856187604
351	0.2856034954
352	0.2855749367
353	0.285541563
354	0.2855003789
355	0.2854796097
356	0.2854366945
357	0.2853979465
358	0.2853750663
359	0.2853512381
360	0.2853277294
361	0.2852946444
362	0.2852639922
363	0.2852284127
364	0.2852029178
365	0.2851809638
366	0.2851496965
367	0.2851163842
368	0.2850905879
369	0.285064208
370	0.2850062131
371	0.2849925084
372	0.2849606176
373	0.2849382764
374	0.2849079841
375	0.2848715973
376	0.2848355692
377	0.284806661
378	0.2847412097
379	0.2847184602
380	0.2846872852
381	0.2846305547
382	0.2845557035
383	0.2845197878
384	0.2844929536
385	0.2844528712
386	0.2844126556
387	0.2843884108
388	0.2843563711
389	0.2843056552
390	0.2842741307
391	0.2842436958
392	0.2842058062
393	0.2841585402
394	0.2841319218
395	0.284105221
396	0.2840681751
397	0.2840439515
398	0.2840155107
399	0.283985545
400	0.283957752
401	0.2839033922
402	0.2838630961
403	0.2838266576
404	0.2838099877
405	0.2837692308
406	0.2837410271
407	0.2837220273
408	0.2837003087
409	0.2836643009
410	0.2836402813
411	0.2836160542
412	0.2835781153
413	0.2835383576
414	0.2835099026
415	0.2834730836
416	0.2834460375
417	0.2834186472
418	0.2833902094
419	0.2833565885
420	0.2833148067
421	0.2832933715
422	0.2832663508
423	0.2832365203
424	0.2831979062
425	0.2831718906
426	0.2831405784
427	0.2831132323
428	0.2830634903
429	0.283031657
430	0.2829996962
431	0.2829425179
432	0.2829121412
433	0.2828934072
434	0.2828704629
435	0.2828381523
436	0.2828051269
437	0.2827819159
438	0.2827639179
439	0.2827165042
440	0.282677804
441	0.2826356421
442	0.2826035143
443	0.2825531886
444	0.2825168126
445	0.2824827991
446	0.2824504649
447	0.282418868
448	0.282390174
449	0.2823493771
450	0.2823083228
451	0.2822832013
452	0.2822296643
453	0.282194091
454	0.2821630012
455	0.2821262369
456	0.2821083703
457	0.2820786856
458	0.2820518767
459	0.2820203421
460	0.2819812617
461	0.2819619862
462	0.2819386018
463	0.2819181409
464	0.2818916364
465	0.2818567537
466	0.2818193479
467	0.2817957543
468	0.2817771976
469	0.2817296532
470	0.281710052
471	0.2816679034
472	0.281628466
473	0.2815943439
474	0.2815684083
475	0.2815102618
476	0.2814771004
477	0.2814354304
478	0.2814073034
479	0.281388047
480	0.2813647588
481	0.2813272476
482	0.2812892686
483	0.2812412647
484	0.2812255248
485	0.281200703
486	0.2811770676
487	0.2811466239
488	0.2811183351
489	0.2810831892
490	0.2810585282
491	0.2810185583
492	0.2809803122
493	0.2809397602
494	0.2809041334
495	0.2808778456
496	0.2808498626
497	0.2808353348
498	0.2808051766
499	0.280754422
500	0.2807402185
501	0.2807124079
502	0.2806510646
503	0.2806214179
504	0.2805920368
505	0.2805698507
506	0.2805468334
507	0.2805115492
508	0.2804805781
509	0.2804549914
510	0.2804196438
511	0.2803992375
512	0.2803769848
513	0.2803536657
514	0.2803332905
515	0.2803022769
516	0.2802792025
517	0.2802300063
518	0.2802041108
519	0.2801363677
520	0.280107545
521	0.2800865359
522	0.2800630682
523	0.2800335392
524	0.2800024225
525	0.2799677149
